date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:56:27	5524/5524	---M--	200	added ('OK')	image/jpeg	etag:%22326d-5a72fb060f900%22	https://www.ice.gov/sites/default/files/images/most_wanted/agzamov.jpg	D:/paginas/ice/www.ice.gov/sites/default/files/images/most_wanted/agzamov.jpg	(from https://www.ice.gov/most-wanted/agzamov-sandjar)
16:56:27	190457/190457	---M-Z	200	added ('OK')	text/javascript	etag:%22c850-60649996ed9f0%22	https://www.ice.gov/sites/default/files/js/js_18HlVqt4Dst1Jakq-o5VsGxV4eIr0sMD29DHxGQeeLE.js?scope=footer&delta=0&language=en&theme=uswds_iced8_gov_theme&include=eJyFU0t2wyAMvBCGbffddZsD8GRLdkgBuXxM3NMX7KRN2uR1AzPDSAIBgeLMPpqFtCOfVbjn0rVRhH9cA_vRTAIQE4Nf1RXIMbBPArxxkEyNUD9QpnUmfDs8Wd0hvR6eGQqXGjxwIHX6yBTWx77dwX6giiyHns_qCjqk5UdFGiHb9C1o463xpH5xgZDAwkpB9XSExXCIYqzHhEKRHakbLAv1jf5vkPFonJiYJ0saPNg1mSGq34KIa0zkVA-RRI4Fo25QjQEcFQ7vF9EMhC964kWnI9WSD9XqHQkb_VPXMmD3TbsB_d5HDHkGK9HE2UJtaRmcjjkstKp9EnROtUvvV-eFisVQiWobpWPMlu4SzoGn-qgut9Wqn-KdAbznvF_ijXiCs-gtfK4Kt-lCesP72lZPN6gnSuoK9iTGJwr1iHJ_PnLk4O72uaUYDVnUU-A8q-aAVKPkMTmrydYm1ud9a2mZRWnfYoLtq7SYestdE7qmdNufII9fqMpdtQ	D:/paginas/ice/www.ice.gov/sites/default/files/js/js_18HlVqt4Dst1Jakq-o5VsGxV4eIr0sMD29DHxGQeeLE6bae.js	(from https://www.ice.gov/most-wanted/agzamov-sandjar)
16:56:27	3081/3081	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c09-60618514a9dca%22	https://static.addtoany.com/menu/page.js	D:/paginas/ice/static.addtoany.com/menu/page.js	(from https://www.ice.gov/most-wanted/agzamov-sandjar)
16:56:27	66223/66223	---M-Z	200	added ('OK')	text/javascript	etag:%22481e-6064993f7be10%22	https://www.ice.gov/sites/default/files/js/js_-VWAl6CwJF65nAfaWrlopKnw_rHDZSB_aMZ9O_CyI-A.js?scope=footer&delta=2&language=en&theme=uswds_iced8_gov_theme&include=eJyFU0t2wyAMvBCGbffddZsD8GRLdkgBuXxM3NMX7KRN2uR1AzPDSAIBgeLMPpqFtCOfVbjn0rVRhH9cA_vRTAIQE4Nf1RXIMbBPArxxkEyNUD9QpnUmfDs8Wd0hvR6eGQqXGjxwIHX6yBTWx77dwX6giiyHns_qCjqk5UdFGiHb9C1o463xpH5xgZDAwkpB9XSExXCIYqzHhEKRHakbLAv1jf5vkPFonJiYJ0saPNg1mSGq34KIa0zkVA-RRI4Fo25QjQEcFQ7vF9EMhC964kWnI9WSD9XqHQkb_VPXMmD3TbsB_d5HDHkGK9HE2UJtaRmcjjkstKp9EnROtUvvV-eFisVQiWobpWPMlu4SzoGn-qgut9Wqn-KdAbznvF_ijXiCs-gtfK4Kt-lCesP72lZPN6gnSuoK9iTGJwr1iHJ_PnLk4O72uaUYDVnUU-A8q-aAVKPkMTmrydYm1ud9a2mZRWnfYoLtq7SYestdE7qmdNufII9fqMpdtQ	D:/paginas/ice/www.ice.gov/sites/default/files/js/js_-VWAl6CwJF65nAfaWrlopKnw_rHDZSB_aMZ9O_CyI-A03d5.js	(from https://www.ice.gov/most-wanted/agzamov-sandjar)
16:56:28	24549/24549	---MCZ	200	added ('OK')	application/javascript	etag:W/%2236612be2a6ccaefd48af22240f0c4f35%22	https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js?agency=DHS&subagency=ICE&pua=0	D:/paginas/ice/dap.digitalgov.gov/Universal-Federated-Analytics-Min9ca7.js	(from https://www.ice.gov/most-wanted/agzamov-sandjar)
16:56:28	97760/97760	---M-Z	200	added ('OK')	text/javascript	etag:%2272bc-60649996fdfa8%22	https://www.ice.gov/sites/default/files/js/js_BQwSk8w29OWV7Gb-aLD-Ul9CpbqqO5xgnTitycWB5cI.js?scope=footer&delta=4&language=en&theme=uswds_iced8_gov_theme&include=eJyFU0t2wyAMvBCGbffddZsD8GRLdkgBuXxM3NMX7KRN2uR1AzPDSAIBgeLMPpqFtCOfVbjn0rVRhH9cA_vRTAIQE4Nf1RXIMbBPArxxkEyNUD9QpnUmfDs8Wd0hvR6eGQqXGjxwIHX6yBTWx77dwX6giiyHns_qCjqk5UdFGiHb9C1o463xpH5xgZDAwkpB9XSExXCIYqzHhEKRHakbLAv1jf5vkPFonJiYJ0saPNg1mSGq34KIa0zkVA-RRI4Fo25QjQEcFQ7vF9EMhC964kWnI9WSD9XqHQkb_VPXMmD3TbsB_d5HDHkGK9HE2UJtaRmcjjkstKp9EnROtUvvV-eFisVQiWobpWPMlu4SzoGn-qgut9Wqn-KdAbznvF_ijXiCs-gtfK4Kt-lCesP72lZPN6gnSuoK9iTGJwr1iHJ_PnLk4O72uaUYDVnUU-A8q-aAVKPkMTmrydYm1ud9a2mZRWnfYoLtq7SYestdE7qmdNufII9fqMpdtQ	D:/paginas/ice/www.ice.gov/sites/default/files/js/js_BQwSk8w29OWV7Gb-aLD-Ul9CpbqqO5xgnTitycWB5cI9b82.js	(from https://www.ice.gov/most-wanted/agzamov-sandjar)
16:56:29	81008/81008	---M--	200	added ('OK')	font/woff	etag:%2213c70-5a0337e66dd00%22	https://www.ice.gov/sites/default/files/fontyourface/local_fonts/source_sans_pro_custom/font.woff	D:/paginas/ice/www.ice.gov/sites/default/files/fontyourface/local_fonts/source_sans_pro_custom/font.woff	(from https://www.ice.gov/sites/default/files/fontyourface/local_fonts/source_sans_pro_custom/font.css)
16:56:29	1275/1275	---M--	200	added ('OK')	image/gif	etag:%224fb-605f5c6fa9a71%22	https://www.ice.gov/core/misc/throbber-active.gif	D:/paginas/ice/www.ice.gov/core/misc/throbber-active.gif	(from https://www.ice.gov/sites/default/files/css/css_QuVTXDexkj611oa4d2lEtBkLmCv2JeXk2w7nvxkR7ig.css?delta=0&language=en&theme=uswds_iced8_gov_theme&include=eJyFU0t2wyAMvBCGbffddZsD8GRLdkgBuXxM3NMX7KRN2uR1AzPDSAIBgeLMPpqFtCOfVbjn0rVRhH9cA_vRTAIQE4Nf1RXIMbBPArxxkEyNUD9QpnUmfDs8Wd0hvR6eGQqXGjxwIHX6yBTWx77dwX6giiyHns_qCjqk5UdFGiHb9C1o463xpH5xgZDAwkpB9XSExXCIYqzHhEKRHakbLAv1jf5vkPFonJiYJ0saPNg1mSGq34KIa0zkVA-RRI4Fo25QjQEcFQ7vF9EMhC964kWnI9WSD9XqHQkb_VPXMmD3TbsB_d5HDHkGK9HE2UJtaRmcjjkstKp9EnROtUvvV-eFisVQiWobpWPMlu4SzoGn-qgut9Wqn-KdAbznvF_ijXiCs-gtfK4Kt-lCesP72lZPN6gnSuoK9iTGJwr1iHJ_PnLk4O72uaUYDVnUU-A8q-aAVKPkMTmrydYm1ud9a2mZRWnfYoLtq7SYestdE7qmdNufII9fqMpdtQ)
16:56:29	2112/2112	---M--	200	added ('OK')	image/gif	etag:%22840-605f5c6fa7361%22	https://www.ice.gov/core/misc/loading-small.gif	D:/paginas/ice/www.ice.gov/core/misc/loading-small.gif	(from https://www.ice.gov/sites/default/files/css/css_QuVTXDexkj611oa4d2lEtBkLmCv2JeXk2w7nvxkR7ig.css?delta=0&language=en&theme=uswds_iced8_gov_theme&include=eJyFU0t2wyAMvBCGbffddZsD8GRLdkgBuXxM3NMX7KRN2uR1AzPDSAIBgeLMPpqFtCOfVbjn0rVRhH9cA_vRTAIQE4Nf1RXIMbBPArxxkEyNUD9QpnUmfDs8Wd0hvR6eGQqXGjxwIHX6yBTWx77dwX6giiyHns_qCjqk5UdFGiHb9C1o463xpH5xgZDAwkpB9XSExXCIYqzHhEKRHakbLAv1jf5vkPFonJiYJ0saPNg1mSGq34KIa0zkVA-RRI4Fo25QjQEcFQ7vF9EMhC964kWnI9WSD9XqHQkb_VPXMmD3TbsB_d5HDHkGK9HE2UJtaRmcjjkstKp9EnROtUvvV-eFisVQiWobpWPMlu4SzoGn-qgut9Wqn-KdAbznvF_ijXiCs-gtfK4Kt-lCesP72lZPN6gnSuoK9iTGJwr1iHJ_PnLk4O72uaUYDVnUU-A8q-aAVKPkMTmrydYm1ud9a2mZRWnfYoLtq7SYestdE7qmdNufII9fqMpdtQ)
16:56:29	356/356	---M--	200	added ('OK')	image/png	etag:%22164-605f5c6fa9a71%22	https://www.ice.gov/core/misc/throbber-inactive.png	D:/paginas/ice/www.ice.gov/core/misc/throbber-inactive.png	(from https://www.ice.gov/sites/default/files/css/css_QuVTXDexkj611oa4d2lEtBkLmCv2JeXk2w7nvxkR7ig.css?delta=0&language=en&theme=uswds_iced8_gov_theme&include=eJyFU0t2wyAMvBCGbffddZsD8GRLdkgBuXxM3NMX7KRN2uR1AzPDSAIBgeLMPpqFtCOfVbjn0rVRhH9cA_vRTAIQE4Nf1RXIMbBPArxxkEyNUD9QpnUmfDs8Wd0hvR6eGQqXGjxwIHX6yBTWx77dwX6giiyHns_qCjqk5UdFGiHb9C1o463xpH5xgZDAwkpB9XSExXCIYqzHhEKRHakbLAv1jf5vkPFonJiYJ0saPNg1mSGq34KIa0zkVA-RRI4Fo25QjQEcFQ7vF9EMhC964kWnI9WSD9XqHQkb_VPXMmD3TbsB_d5HDHkGK9HE2UJtaRmcjjkstKp9EnROtUvvV-eFisVQiWobpWPMlu4SzoGn-qgut9Wqn-KdAbznvF_ijXiCs-gtfK4Kt-lCesP72lZPN6gnSuoK9iTGJwr1iHJ_PnLk4O72uaUYDVnUU-A8q-aAVKPkMTmrydYm1ud9a2mZRWnfYoLtq7SYestdE7qmdNufII9fqMpdtQ)
